Id,Fecha,Año,Mes,Día,Día semana,Hora completa,Hora,Num víctimas,Participantes,Rol,Acusado,Victima,Sexo,Edad,Rango etario,Fecha fallecimiento,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Barrios,Xy (caba),Coordenada x,Coordenada y,Pos x,Pos y
2016-0001,2016-01-01,2016,1,1,Viernes,04:00:00,4,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,19,Menos de 20,2016-01-01,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (98896.78238426 93532.43437792),98896.78238426,93532.43437792,-58.47533969,-34.68757022
2016-0002,2016-01-02,2016,1,2,Sabado,01:15:00,1,1,AUTO-PASAJEROS,CONDUCTOR,PASAJEROS,AUTO,MASCULINO,70,Entre 61-80,2016-01-02,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,Point (95832.05571093 95505.41641999),95832.05571093,95505.41641999,-58.50877521,-34.66977709
2016-0003,2016-01-03,2016,1,3,Domingo,07:00:00,7,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,30, Entre 21- 40,2016-01-03,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (106684.29090040 99706.57687843),106684.2909004,99706.57687843,-58.39040293,-34.63189362
2016-0004,2016-01-10,2016,1,10,Domingo,00:00:00,0,1,MOTO-SD,CONDUCTOR,SD,MOTO,MASCULINO,18,Menos de 20,,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (99840.65224780 94269.16534422),99840.6522478,94269.16534422,-58.46503904,-34.68092974
2016-0005,2016-01-21,2016,1,21,Jueves,05:20:00,5,1,MOTO-PASAJEROS,CONDUCTOR,PASAJEROS,MOTO,MASCULINO,29, Entre 21- 40,2016-02-01,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (106980.32827929 100752.16915795),106980.32827929,100752.16915795,-58.38718297,-34.6224663
2016-0008,2016-01-24,2016,1,24,Domingo,18:30:00,18,1,MOTO-OBJETO FIJO,CONDUCTOR,OBJETO FIJO,MOTO,MASCULINO,30, Entre 21- 40,2016-01-24,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,Comuna 8,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Point (101721.59002217 93844.25656649),101721.59002217,93844.25656649,-58.44451316,-34.68475866
2016-0009,2016-01-24,2016,1,24,Domingo,19:10:00,19,1,MOTO-AUTO,PASAJERO_ACOMPAÑANTE,AUTO,MOTO,MASCULINO,29, Entre 21- 40,2016-01-26,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",Comuna 11,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Point (96545.87592078 102330.67262199),96545.87592078,102330.67262199,-58.50095869,-34.6082544
2016-0010,2016-01-29,2016,1,29,Viernes,15:20:00,15,1,MOTO-AUTO,CONDUCTOR,AUTO,MOTO,MASCULINO,18,Menos de 20,2016-01-29,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",Comuna 9,LINIERS - MATADEROS - PARQUE AVELLANEDA,Point (95832.05571093 95505.41641999),95832.05571093,95505.41641999,-58.50877521,-34.66977709
2016-0012,2016-02-08,2016,2,8,Lunes,01:20:00,1,1,MOTO-CARGAS,CONDUCTOR,CARGAS,MOTO,MASCULINO,22, Entre 21- 40,2016-02-08,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (107595.35084333 101797.50052813),107595.35084333,101797.50052813,-58.38048577,-34.61303893
2016-0013,2016-02-10,2016,2,10,Miercoles,11:30:00,11,1,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,16,Menos de 20,2016-02-10,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,Comuna 1,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Point (106616.41069662 100496.44662323),106616.41069662,100496.44662323,-58.39114932,-34.62477387
